report_id,adjudicated_assertion_status,adjudicated_routing_action,adjudicated_evidence_insufficient,adjudication_rationale
MAUDE-ECG-0001,confirmed,ESCALATE_TO_HUMAN_IMMEDIATE,no,"Il produttore conferma esplicitamente il meccanismo del guasto (""known case of pause in noise"": le pause vengono rimosse quando il segnale e classificato come rumore, causando la mancata rilevazione di una pausa di oltre 3 minuti in un caso di decesso). Non e un'ipotesi: il produttore riconosce il problema come noto e gia in correzione nella prossima versione. Percio assertion_status=confirmed e evidence_insufficient=no (rater2 corretto). Routing concordato da entrambi i rater (decesso + malfunzionamento noto dell'algoritmo)."
MAUDE-ECG-0005,suspected,CAPA_INVESTIGATE,yes,"Il narrative del produttore e un semplice segnaposto (""a follow up report will be submitted""), senza analisi di causa. Trattandosi di un possibile malfunzionamento hardware/software non ancora escluso e senza inchiesta conclusa, la prassi corretta e aprire un'indagine formale (CAPA_INVESTIGATE) piuttosto che il solo monitoraggio passivo, dato che il dispositivo era in uso su paziente durante l'evento."
MAUDE-ECG-0013,negated,CAPA_INVESTIGATE,no,"Il produttore fornisce un'analisi dettagliata e conclude esplicitamente che era ragionevole ritenere che i valori QT/QTc imprecisi non abbiano causato o contribuito all'arresto cardiaco (impostazione Bazett non abilitata, nessuna modifica al piano di cura, evento attribuito a interazione farmaco-integratori). Questa e una negazione motivata, non un'insufficienza di prove: assertion_status=negated, evidence_insufficient=no (rater2 corretto). Routing concordato (CAPA_INVESTIGATE per il problema di configurazione/etichettatura)."
MAUDE-ECG-0016,mention-only,MONITOR,yes,"Segnalazione estremamente scarna (""some trouble with Paceart, no other information available""), priva di dettagli tecnici. Essendo comunque una notifica formale FDA (803.22(b)(2)), la scelta piu prudente non e la chiusura immediata (NO_ACTION) ma un monitoraggio per rilevare eventuali segnalazioni simili future (MONITOR), coerente con evidence_insufficient=yes gia condiviso da entrambi."
MAUDE-ECG-0018,confirmed,FIELD_SAFETY_CORRECTIVE_ACTION,no,"Il produttore ha identificato la causa radice (limite strutturale del formato file ZHR che non supporta i dati DICOM MWL, con conseguente mismatch paziente) e ha gia deciso un'azione correttiva concreta (""Philips will change the ZHR file format... the mismatch will not happen anymore""). Non si tratta piu di una fase di sola indagine (CAPA_INVESTIGATE) ma di un'azione correttiva di sicurezza sul campo gia pianificata, per cui FIELD_SAFETY_CORRECTIVE_ACTION e piu appropriato (rater1 corretto)."
MAUDE-ECG-0019,confirmed,FIELD_SAFETY_CORRECTIVE_ACTION,no,"Caso gemello del precedente (stesso difetto di progettazione del formato ZHR/DICOM, stesso impegno del produttore a modificare il formato file per risolvere definitivamente il mismatch tra pazienti). Root cause confermata e correzione gia programmata: FIELD_SAFETY_CORRECTIVE_ACTION."
MAUDE-ECG-0024,suspected,CAPA_INVESTIGATE,yes,"Il testo e esclusivamente la narrazione del paziente/reclamante; non risulta alcuna narrativa del produttore che confermi con indagine tecnica la causa (reazione allergica all'adesivo, assenza di etichetta di avviso). Senza una conferma investigativa del produttore, l'affermazione resta 'suspected' e non 'confirmed', coerente con evidence_insufficient=yes condiviso da entrambi i rater. Routing concordato CAPA_INVESTIGATE data la gravita della lesione cutanea riportata."
MAUDE-ECG-0025,suspected,MONITOR,yes,"Il produttore dichiara esplicitamente di non poter identificare la causa radice (""the root cause could not be identified"") e propone un test funzionale solo 'se il problema si ripresenta', senza impegnarsi in un'indagine immediata. Questo esclude 'confirmed' (nessuna conferma di malfunzionamento) e rende MONITOR piu coerente di un'apertura CAPA immediata, in attesa di recidiva."
MAUDE-ECG-0029,confirmed,ESCALATE_TO_HUMAN_IMMEDIATE,no,"Sebbene la root cause (scheda PCBA difettosa) sia stata confermata e la lesione classificata come non grave, l'evento comporta l'esplosione di una batteria con conseguente ustione al paziente: un evento di sicurezza ad alto rischio latente che il produttore stesso riconosce potrebbe causare lesioni gravi in caso di recidiva. Eventi di esplosione/incendio di batterie in dispositivi medici giustificano un'escalation umana immediata per valutazione di sicurezza, non solo un'azione correttiva pianificata a posteriori."
MAUDE-ECG-0032,confirmed,CAPA_INVESTIGATE,yes,"Il malfunzionamento (errore in fase di download, impossibilita di recuperare il tracciato) e confermato dal fatto che il dispositivo e stato ritirato dal servizio e inviato in riparazione, ma la causa tecnica resta sconosciuta (evidence_insufficient=yes condiviso). Un malfunzionamento confermato con causa ignota richiede un'indagine formale (CAPA_INVESTIGATE) piuttosto che il solo monitoraggio."
MAUDE-ECG-0039,mention-only,NO_ACTION,yes,"Il reclamo del paziente menziona il dispositivo (Holter/ECG) nel contesto di un disagio di salute generale, ma non descrive alcun malfunzionamento tecnico specifico ne un nesso causale chiaro; il dispositivo e citato ma non e oggetto di un'affermazione di guasto. Questo corrisponde a 'mention-only' piuttosto che 'absent' (il dispositivo non è del tutto assente dal reclamo). Routing concordato NO_ACTION data l'assenza di un'affermazione tecnica azionabile."
